"Диагностика","цена от","Двигатель","цена от","Электрооборудование","цена от","Система кондиционирования","цена от","Полировка кузова","цена от","Ходовая часть и сход-развал","цена от","Замена аккумулятора на новый с выездом","цена от","Рулевое управление","цена от","Шиномонтаж","цена от","Техническое обслуживание","цена от","Тонировка и тюнинг","цена от","Тормозная система","цена от","Трансмиссия","цена от","Тюнинг","цена от","Выхлопная система","цена от"
"Диагностика АКПП","6000","Капитальный ремонт двигателя","105000","Замена блока предохранителей в автомобиле","1260","Антибактериальная обработка автокондиционера","600","Абразивная полировка кузова","","Грузовой сход-развал","","Техническая помощь на дороге","","Ремонт рулевой рейки","6660","Шиномонтаж R-13","2020","Замена масла в АКПП","","Тонировка стекол автомобиля","","Проточка тормозных дисков","","Ремонт АКПП","","Перетяжка салона автомобиля","","Удаление катализатора",""
"Диагностика МКПП","","Диагностика двигателя","3000","Замена автомобильного генератора","1800","Диагностика автокондиционера","2100","Кварцевое покрытие автомобиля","3000","Диагностика подвески","1500","Зарядка аккумулятора с выездом","","Замена наружного ШРУСа","3600","Шиномонтаж R-14","2020","Плановое ТО автомобиля","6900","Тонировка задних стекол автомобиля","","Диагностика тормозной системы","1500","Аппаратная замена масла в АКПП","2600","Антикоррозийная обработка днища автомобиля","","Диагностика выхлопной системы",""
"Диагностика выхлопной системы","","Диагностика ТНВД бензинового двигателя","","Замена датчика кислорода в автомобиле","1560","Замена испарителя автокондиционера","33000","Нанесение покрытия Ceramic Pro на авто","","Диагностики пневматической подвески","","Зарядка аккумулятора стационарная","","Замена внутреннего ШРУСа","3600","Шиномонтаж R-15","2410","Предпродажная подготовка автомобиля","","Тонировка лобового стекла автомобиля","","Замена вакуумного усилителя","","Диагностика АКПП","6000","Обслуживание ГБО автомобиля","","Замена выпускного коллектора",""
"Диагностика автокондиционера","2100","Диагностика ТНВД дизельного двигателя","","Замена датчика положения коленвала в автомобиле","1560","Замена компрессора автокондиционера","2160","Нанополировка автомобиля","","Замена амортизаторов передней подвески","2700","Прикуривание автомобиля","","Замена гидроусилителя","","Шиномонтаж R-16","2410","Аппаратная замена масла в АКПП","2600","Тонировка передних стекол автомобиля","","Замена главного тормозного цилиндра","3060","Диагностика МКПП","","Перетяжка потолка автомобиля","","Замена глушителя",""
"Диагностика подвески","1500","Замена бензинового двигателя","","Замена датчика положения распредвала в автомобиле","","Замена патрубков системы охлаждения","","Полировка бампера","","Замена втулок стабилизатора","2400","Прикуривание автомобиля пусковым устройством","","Замена жидкости ГУР","2400","Шиномонтаж R-17","3200","Замена воздушного фильтра","660","Бронирование автомобиля пленкой","","Замена датчика ABS","1800","Замена РКПП","","Перетяжка руля автомобиля","","Замена гофры глушителя",""
"Диагностика рулевого управления","","Замена бензонасоса","","Замена датчика скорости автомобиля","","Замена радиатора автокондиционера","9000","Полировка детали автомобиля","","Замена заднего амортизатора","1800","Вскрытие салона автомобиля","","Замена жидкости ЭГУР","","Шиномонтаж R-18","3200","Замена жидкости ГУР","2400","Бронирование стекол автомобиля","","Замена задних тормозных колодок","1250","Замена АКПП","10560","Перетяжка торпеды автомобиля","","Замена катализатора",""
"Диагностика топливной системы","1500","Замена впускного коллектора","","Замена замка зажигания автомобиля","","Замена радиатора охлаждения","9000","Полировка фар","1200","Замена опорного подшипника","3300","Вскрытие багажника автомобиля","","Замена наружного ШРУСа","3600","Шиномонтаж R-19","3200","Замена масла АКПП","","Бронирование фар автомобиля","","Замена колодок стояночного тормоза","4500","Замена МКПП","12300","Тюнинг двигателя автомобиля","","Замена катализатора на пламегаситель",""
"Диагностика тормозной системы","1500","Замена датчика положения дроссельной заслонки","","Замена катушки зажигания автомобиля","960","Замена радиатора печки","","Автохимчистка","","Замена опоры амортизатора","1800","Вскрытие капота автомобиля","","Замена насоса гидроусилителя","","Шиномонтаж R-20","4650","Замена масла МКПП","960","Оклейка автомобиля виниловой пленкой","","Замена передних тормозных колодок","1250","Замена выжимного подшипника","","Тюнинг дисков автомобиля","","Замена приёмной трубы глушителя",""
"Диагностика турбины","","Замена дизельного двигателя","","Замена коммутатора в автомобиле","","Замена ремня автокондиционера","1500","","","Замена переднего амортизатора","","Замена колеса на запасное колесо","","Замена пыльника ШРУСа","","Шиномонтаж R-21","4650","Замена масла в РКПП","2600","Оклейка автомобиля глянцевой пленкой","","Замена тормозного шланга","2160","Замена гидроблока","","Тюнинг подвески автомобиля","","Замена прокладки приёмной трубки",""
"Диагностика ходовой части автомобиля","","Замена задней опоры двигателя","1200","Замена ламп габаритных огней на автомобиле","200","Замена автомобильного термостата","","","","Замена поворотного кулака","3600","Подкачка шин","","Замена ремня гидроусилителя","","Шиномонтаж R-22","","Замена масла в вариаторе автомобиля","2600","Оклейка автомобиля карбоновой пленкой","","Замена тормозной жидкости","1260","Замена гидротрансформатора","","Тюнинг салона автомобиля","","Замена резонатора",""
